NewName,Author,Family,Order,Class,Phylum,Taxonomy,OrigName,LifeForm,Region,PresentStatus,FirstRecord,FirstRecord_orig,DataQuality,Source,Harvest Point,Region2
Passiflora edulis,Sims,Passifloraceae,Malpighiales,Magnoliopsida,Tracheophyta,TPL,Passiflora edulis,Vascular plants,Kermadec Islands,established,1966,1966,,Sykes W. R. et al. (2000),,Pacific Islands
Pastinaca sativa,L.,Apiaceae,Apiales,Magnoliopsida,Tracheophyta,TPL,Pastinaca sativa,Vascular plants,Kermadec Islands,established,1945,1945,,Sykes W. R. et al. (2000),,Pacific Islands
Phalaris minor,Retz.,Poaceae,Poales,Liliopsida,Tracheophyta,TPL,Phalaris minor,Vascular plants,Kermadec Islands,casual,1944,1944,,Sykes W. R. et al. (2000),,Pacific Islands
Phaseolus lunatus,L.,Leguminosae,Fabales,Magnoliopsida,Tracheophyta,TPL,Phaseolus lunatus,Vascular plants,Kermadec Islands,casual,1956,1956,,Sykes W. R. et al. (2000),,Pacific Islands
Phormium tenax,J.R.Forst. & G.Forst.,Xanthorrhoeaceae,Asparagales,Liliopsida,Tracheophyta,TPL,Phormium tenax,Vascular plants,Kermadec Islands,casual,1944,1944,,Sykes W. R. et al. (2000),,Pacific Islands
Physalis peruviana,L.,Solanaceae,Solanales,Magnoliopsida,Tracheophyta,TPL,Physalis peruviana,Vascular plants,Kermadec Islands,established,1887,1887,,Sykes W. R. et al. (2000),,Pacific Islands
Plantago lanceolata,L.,Plantaginaceae,Lamiales,Magnoliopsida,Tracheophyta,TPL,Plantago lanceolata,Vascular plants,Kermadec Islands,established,1888,1888,,Sykes W. R. et al. (2000),,Pacific Islands
Plantago major,L.,Plantaginaceae,Lamiales,Magnoliopsida,Tracheophyta,TPL,Plantago major,Vascular plants,Kermadec Islands,established,1888,1888,,Sykes W. R. et al. (2000),,Pacific Islands
Poa annua,L.,Poaceae,Poales,Liliopsida,Tracheophyta,TPL,Poa annua,Vascular plants,Kermadec Islands,casual,1966,1966,,Sykes W. R. et al. (2000),,Pacific Islands
Poa pratensis,L.,Poaceae,Poales,Liliopsida,Tracheophyta,TPL,Poa pratensis,Vascular plants,Kermadec Islands,casual,1888,1888,,Sykes W. R. et al. (2000),,Pacific Islands
Polycarpon tetraphyllum,(L.) L.,Caryophyllaceae,Caryophyllales,Magnoliopsida,Tracheophyta,TPL,Polycarpon tetraphyllum,Vascular plants,Kermadec Islands,established,1900,1900,,Sykes W. R. et al. (2000),,Pacific Islands
Polypogon monspeliensis,(L.) Desf.,Poaceae,Poales,Liliopsida,Tracheophyta,TPL,Polypogon monspeliensis,Vascular plants,Kermadec Islands,established,1888,1888,,Sykes W. R. et al. (2000),,Pacific Islands
Populus nigra,Münchh.,Salicaceae,Malpighiales,Magnoliopsida,Tracheophyta,TPL,Populus nigra cv. Italica,Vascular plants,Kermadec Islands,casual,1966,1966,,Sykes W. R. et al. (2000),,Pacific Islands
Portulaca oleracea,L.,Portulacaceae,Caryophyllales,Magnoliopsida,Tracheophyta,TPL,Portulaca oleracea,Vascular plants,Kermadec Islands,established,1944,1944,,Sykes W. R. et al. (2000),,Pacific Islands
Psidium guajava,L.,Myrtaceae,Myrtales,Magnoliopsida,Tracheophyta,TPL,Psidium guajava,Vascular plants,Kermadec Islands,established,1887,1887,,Sykes W. R. et al. (2000),,Pacific Islands
Pteridium esculentum,(G. Forst.) Cockayne,Dennstaedtiaceae,Polypodiales,Polypodiopsida,Tracheophyta,TPL,Pteridium esculentum,Vascular plants,Kermadec Islands,established,1888,1888,,Sykes W. R. et al. (2000),,Pacific Islands
Raphanus raphanistrum,(L.) Domin,Brassicaceae,Brassicales,Magnoliopsida,Tracheophyta,TPL,Raphanus  sativus,Vascular plants,Kermadec Islands,casual,1966,1966,,Sykes W. R. et al. (2000),,Pacific Islands
Rapistrum rugosum,(L.) All.,Brassicaceae,Brassicales,Magnoliopsida,Tracheophyta,TPL,Rapistrum rugosum,Vascular plants,Kermadec Islands,casual,1966,1966,,Sykes W. R. et al. (2000),,Pacific Islands
Rhynchospora colorata,(L.) H.Pfeiff.,Cyperaceae,Poales,Liliopsida,Tracheophyta,TPL,Cyperus kyllingia,Vascular plants,Kermadec Islands,established,1966,1966,,Sykes W. R. et al. (2000),,Pacific Islands
Ricinus communis,L.,Euphorbiaceae,Malpighiales,Magnoliopsida,Tracheophyta,TPL,Ricinus communis,Vascular plants,Kermadec Islands,established,1908,1908,,Sykes W. R. et al. (2000),,Pacific Islands
Rumex acetosella,L.,Polygonaceae,Caryophyllales,Magnoliopsida,Tracheophyta,TPL,Rumex acetosella,Vascular plants,Kermadec Islands,casual,1908,1908,,Sykes W. R. et al. (2000),,Pacific Islands
Rumex brownii,Campd.,Polygonaceae,Caryophyllales,Magnoliopsida,Tracheophyta,TPL,Rumex brownii,Vascular plants,Kermadec Islands,established,1966,1966,,Sykes W. R. et al. (2000),,Pacific Islands
Rumex obtusifolius,L.,Polygonaceae,Caryophyllales,Magnoliopsida,Tracheophyta,TPL,Rumex obtusifolius,Vascular plants,Kermadec Islands,casual,1888,1888,,Sykes W. R. et al. (2000),,Pacific Islands
Sacciolepis indica,(L.) Chase,Poaceae,Poales,Liliopsida,Tracheophyta,TPL,Sacciolepis indica,Vascular plants,Kermadec Islands,casual,1966,1966,,Sykes W. R. et al. (2000),,Pacific Islands
Senecio vulgaris,L.,Compositae,Asterales,Magnoliopsida,Tracheophyta,TPL,Senecio vulgaris,Vascular plants,Kermadec Islands,casual,1888,1888,,Sykes W. R. et al. (2000),,Pacific Islands
Setaria pumila,(Poir.) Roem. & Schult.,Poaceae,Poales,Liliopsida,Tracheophyta,TPL,Setaria pallide-fusca,Vascular plants,Kermadec Islands,established,1949,1949,,Sykes W. R. et al. (2000),,Pacific Islands
Sherardia arvensis,L.,Rubiaceae,Gentianales,Magnoliopsida,Tracheophyta,TPL,Sherardia arvensis,Vascular plants,Kermadec Islands,casual,1966,1966,,Sykes W. R. et al. (2000),,Pacific Islands
Sida rhombifolia,L.,Malvaceae,Malvales,Magnoliopsida,Tracheophyta,TPL,Sida rhombifolia,Vascular plants,Kermadec Islands,established,1908,1908,,Sykes W. R. et al. (2000),,Pacific Islands
Sigesbeckia orientalis,L.,Compositae,Asterales,Magnoliopsida,Tracheophyta,TPL,Sigesbeckia orientalis,Vascular plants,Kermadec Islands,casual,1908,1908,,Sykes W. R. et al. (2000),,Pacific Islands
Silene gallica,L.,Caryophyllaceae,Caryophyllales,Magnoliopsida,Tracheophyta,TPL,Silene gallica,Vascular plants,Kermadec Islands,established,1908,1908,,Sykes W. R. et al. (2000),,Pacific Islands
Sisymbrium officinale,(L.) Scop.,Brassicaceae,Brassicales,Magnoliopsida,Tracheophyta,TPL,Sisymbrium officinale,Vascular plants,Kermadec Islands,casual,1908,1908,,Sykes W. R. et al. (2000),,Pacific Islands
Solanum americanum,Mill.,Solanaceae,Solanales,Magnoliopsida,Tracheophyta,TPL,Solanum nigrum,Vascular plants,Kermadec Islands,established,1888,1888,,Sykes W. R. et al. (2000),,Pacific Islands
Solanum tuberosum,L.,Solanaceae,Solanales,Magnoliopsida,Tracheophyta,TPL,Solanum tuberosum,Vascular plants,Kermadec Islands,casual,1966,1966,,Sykes W. R. et al. (2000),,Pacific Islands
Sonchus oleraceus,(L.) L.,Compositae,Asterales,Magnoliopsida,Tracheophyta,TPL,Sonchus oleraceus,Vascular plants,Kermadec Islands,established,1888,1888,,Sykes W. R. et al. (2000),,Pacific Islands
Spergula arvensis,L.,Caryophyllaceae,Caryophyllales,Magnoliopsida,Tracheophyta,TPL,Spergula  arvensis,Vascular plants,Kermadec Islands,casual,1944,1944,,Sykes W. R. et al. (2000),,Pacific Islands
Sporobolus africanus,(Poir.) Robyns & Tournay,Poaceae,Poales,Liliopsida,Tracheophyta,TPL,Sporobolus africanus,Vascular plants,Kermadec Islands,established,1908,1908,,Sykes W. R. et al. (2000),,Pacific Islands
Stachys arvensis,(L.) L.,Lamiaceae,Lamiales,Magnoliopsida,Tracheophyta,TPL,Stachys arvensis,Vascular plants,Kermadec Islands,established,1966,1966,,Sykes W. R. et al. (2000),,Pacific Islands
Stenotaphrum secundatum,(Walter) Kuntze,Poaceae,Poales,Liliopsida,Tracheophyta,TPL,Stenotaphrum secundatum,Vascular plants,Kermadec Islands,established,1900,1900,,Sykes W. R. et al. (2000),,Pacific Islands
Tagetes erecta,L.,Compositae,Asterales,Magnoliopsida,Tracheophyta,TPL,Tagetes erecta,Vascular plants,Kermadec Islands,casual,1966,1966,,Sykes W. R. et al. (2000),,Pacific Islands
Taraxacum campylodes,G.E.Haglund,Compositae,Asterales,Magnoliopsida,Tracheophyta,TPL,Taraxacum officinale,Vascular plants,Kermadec Islands,casual,1908,1908,,Sykes W. R. et al. (2000),,Pacific Islands
Tibouchina urvilleana,(DC.) Cogn.,Melastomataceae,Myrtales,Magnoliopsida,Tracheophyta,TPL,Tibouchina urvilleana,Vascular plants,Kermadec Islands,established,1944,1944,,Sykes W. R. et al. (2000),,Pacific Islands
Trifolium dubium,Sibth.,Leguminosae,Fabales,Magnoliopsida,Tracheophyta,TPL,Trifolium dubium,Vascular plants,Kermadec Islands,established,1908,1908,,Sykes W. R. et al. (2000),,Pacific Islands
Trifolium pratense,L.,Leguminosae,Fabales,Magnoliopsida,Tracheophyta,TPL,Trifolium pratense,Vascular plants,Kermadec Islands,casual,1888,1888,,Sykes W. R. et al. (2000),,Pacific Islands
Trifolium repens,L.,Leguminosae,Fabales,Magnoliopsida,Tracheophyta,TPL,Trifolium repens,Vascular plants,Kermadec Islands,established,1888,1888,,Sykes W. R. et al. (2000),,Pacific Islands
Verbascum thapsus,L.,Scrophulariaceae,Lamiales,Magnoliopsida,Tracheophyta,TPL,Verbascum thapsus,Vascular plants,Kermadec Islands,casual,1944,1944,,Sykes W. R. et al. (2000),,Pacific Islands
Verbena bonariensis,L.,Verbenaceae,Lamiales,Magnoliopsida,Tracheophyta,TPL,Verbena bonariensis,Vascular plants,Kermadec Islands,established,1944,1944,,Sykes W. R. et al. (2000),,Pacific Islands
Veronica arvensis,L.,Plantaginaceae,Lamiales,Magnoliopsida,Tracheophyta,TPL,Veronica arvensis,Vascular plants,Kermadec Islands,established,1888,1888,,Sykes W. R. et al. (2000),,Pacific Islands
Veronica persica,Poir.,Plantaginaceae,Lamiales,Magnoliopsida,Tracheophyta,TPL,Veronica persica,Vascular plants,Kermadec Islands,established,1888,1888,,Sykes W. R. et al. (2000),,Pacific Islands
Vitis vinifera,L.,Vitaceae,Vitales,Magnoliopsida,Tracheophyta,TPL,Vitis vinifera,Vascular plants,Kermadec Islands,established,1887,1887,,Sykes W. R. et al. (2000),,Pacific Islands
Vulpia bromoides,(L.) Gray,Poaceae,Poales,Liliopsida,Tracheophyta,TPL,Vulpia bromoides,Vascular plants,Kermadec Islands,established,1908,1908,,Sykes W. R. et al. (2000),,Pacific Islands
Vulpia myuros,(L.) C.C.Gmel.,Poaceae,Poales,Liliopsida,Tracheophyta,TPL,Vulpia myuros,Vascular plants,Kermadec Islands,casual,1908,1908,,Sykes W. R. et al. (2000),,Pacific Islands
Abelmoschus moschatus,Medik.,Malvaceae,Malvales,Magnoliopsida,Tracheophyta,TPL,Abelmoschus moschatus,Vascular plants,Hawaiian Islands,,1895,1895,Herbarium record,Wester L. (1992),Complete Species List,Pacific Islands
Abrus precatorius,L.,Leguminosae,Fabales,Magnoliopsida,Tracheophyta,TPL,Abrus precatorius,Vascular plants,Hawaiian Islands,,1888,1888,Herbarium record,Wester L. (1992),Complete Species List,Pacific Islands
Abutilon grandifolium,(Willd.) Sweet,Malvaceae,Malvales,Magnoliopsida,Tracheophyta,TPL,Abutilon grandifolium,Vascular plants,Hawaiian Islands,,1817,1817,Herbarium record,Wester L. (1992),Complete Species List,Pacific Islands
Acacia farnesiana,(L.) Willd.,Leguminosae,Fabales,Magnoliopsida,Tracheophyta,TPL,Acacia farnesiana,Vascular plants,Hawaiian Islands,,1865,1865,Herbarium record,Wester L. (1992),Complete Species List,Pacific Islands
Acacia mearnsii,De Wild.,Leguminosae,Fabales,Magnoliopsida,Tracheophyta,TPL,Acacia mearnsii,Vascular plants,Hawaiian Islands,,1911,1911,Herbarium record,Wester L. (1992),Complete Species List,Pacific Islands
